Legend Name	Placental ORBLv
CDS, <= 100 codons	0.963594518951
CDS, <= 100 codons	0.689844703998
CDS, <= 100 codons	0.97220160117
CDS, <= 100 codons	0.905773881669
CDS, <= 100 codons	0.172672889843
CDS, <= 100 codons	0.935957863203
CDS, <= 100 codons	0.883975442126
CDS, <= 100 codons	0.989621712535
CDS, <= 100 codons	0.420796408375
CDS, <= 100 codons	0.90827545619
CDS, <= 100 codons	0.00580833210306
CDS, <= 100 codons	0.94690451636
CDS, <= 100 codons	0.0389700466339
CDS, <= 100 codons	0.860951370335
CDS, <= 100 codons	0.471220955325
CDS, <= 100 codons	0.996992251537
CDS, <= 100 codons	0.0352169155968
CDS, <= 100 codons	0.00534322375241
CDS, <= 100 codons	0.927255799547
CDS, <= 100 codons	0.0632945577798
CDS, <= 100 codons	0.488867381652
CDS, <= 100 codons	0.0048752621402
CDS, <= 100 codons	0.0153142028429
CDS, <= 100 codons	0.0306145679795
CDS, <= 100 codons	0.688874852232
CDS, <= 100 codons	0.0
CDS, <= 100 codons	0.0754830031321
CDS, <= 100 codons	0.0870663277062
CDS, <= 100 codons	0.990865283705
CDS, <= 100 codons	0.733776983257
CDS, <= 100 codons	0.707123796557
CDS, <= 100 codons	0.82839382364
CDS, <= 100 codons	0.393263367323
CDS, <= 100 codons	0.944867005961
CDS, <= 100 codons	0.561162244064
CDS, <= 100 codons	0.938868235627
CDS, <= 100 codons	0.00649337760221
CDS, <= 100 codons	0.846963514417
CDS, <= 100 codons	0.645791018071
CDS, <= 100 codons	0.63823006533
CDS, <= 100 codons	0.940342963285
CDS, <= 100 codons	0.39421138045
CDS, <= 100 codons	0.618701689804
CDS, <= 100 codons	0.0
CDS, <= 100 codons	0.592415643166
CDS, <= 100 codons	0.780012528123
CDS, <= 100 codons	0.552535232431
CDS, <= 100 codons	0.951242825403
CDS, <= 100 codons	0.951683740589
CDS, <= 100 codons	0.0792567649312
CDS, <= 100 codons	0.430074944416
CDS, <= 100 codons	0.817016135396
CDS, <= 100 codons	0.943283412404
CDS, <= 100 codons	0.928946982105
CDS, <= 100 codons	0.972780385777
CDS, <= 100 codons	0.00850827231326
CDS, <= 100 codons	0.9847631781
CDS, <= 100 codons	0.33511154241
CDS, <= 100 codons	0.565392167018
CDS, <= 100 codons	0.742577049712
CDS, <= 100 codons	0.991139814667
CDS, <= 100 codons	0.759998895522
CDS, <= 100 codons	0.893102817646
CDS, <= 100 codons	0.890238272187
CDS, <= 100 codons	0.454502690639
CDS, <= 100 codons	0.961849937096
CDS, <= 100 codons	0.175609260011
CDS, <= 100 codons	0.591227240249
CDS, <= 100 codons	0.86961437893
CDS, <= 100 codons	0.796086512324
CDS, <= 100 codons	0.971925270081
CDS, <= 100 codons	0.88766766833
CDS, <= 100 codons	0.0123940326993
CDS, <= 100 codons	0.513635138018
CDS, <= 100 codons	0.96399080503
CDS, <= 100 codons	0.836756277923
CDS, <= 100 codons	0.978770137667
CDS, <= 100 codons	0.959726709733
CDS, <= 100 codons	0.0169040294913
CDS, <= 100 codons	0.0446575531853
CDS, <= 100 codons	0.908841469584
CDS, <= 100 codons	0.0751772009569
CDS, <= 100 codons	0.0226797633873
