Legend Name	Primate ORBLv
CDS, <= 100 codons	0.191019952102
CDS, <= 100 codons	1.0
CDS, <= 100 codons	1.0
CDS, <= 100 codons	1.0
CDS, <= 100 codons	0.433476876195
CDS, <= 100 codons	0.724057657155
CDS, <= 100 codons	0.058691576287
CDS, <= 100 codons	0.926032960998
CDS, <= 100 codons	0.3937814547
CDS, <= 100 codons	0.771541339678
CDS, <= 100 codons	0.821814222303
CDS, <= 100 codons	0.992047547285
CDS, <= 100 codons	0.355857112105
CDS, <= 100 codons	0.053991786096
CDS, <= 100 codons	0.834221718803
CDS, <= 100 codons	0.238601096723
CDS, <= 100 codons	0.785813743722
CDS, <= 100 codons	0.0492631644926
CDS, <= 100 codons	0.154745749465
CDS, <= 100 codons	0.309351672766
CDS, <= 100 codons	0.682562561578
CDS, <= 100 codons	0.0
CDS, <= 100 codons	0.762734698721
CDS, <= 100 codons	0.63343722091
CDS, <= 100 codons	1.0
CDS, <= 100 codons	0.8397496331
CDS, <= 100 codons	0.899502437092
CDS, <= 100 codons	0.959497186468
CDS, <= 100 codons	0.652760319193
CDS, <= 100 codons	0.761015365624
CDS, <= 100 codons	0.792650736878
CDS, <= 100 codons	0.815682074497
CDS, <= 100 codons	0.0656137700355
CDS, <= 100 codons	0.684271106799
CDS, <= 100 codons	0.976254412792
CDS, <= 100 codons	0.432983873668
CDS, <= 100 codons	0.976254412792
CDS, <= 100 codons	0.94587851192
CDS, <= 100 codons	0.774899349911
CDS, <= 100 codons	0.0
CDS, <= 100 codons	0.7760853525
CDS, <= 100 codons	0.762789931742
CDS, <= 100 codons	0.717815965731
CDS, <= 100 codons	1.0
CDS, <= 100 codons	1.0
CDS, <= 100 codons	0.800867509412
CDS, <= 100 codons	0.595358945797
CDS, <= 100 codons	0.941492503788
CDS, <= 100 codons	0.952701859933
CDS, <= 100 codons	0.983490861061
CDS, <= 100 codons	1.0
CDS, <= 100 codons	0.0859737192508
CDS, <= 100 codons	0.95920696
CDS, <= 100 codons	0.672185581693
CDS, <= 100 codons	0.98261913549
CDS, <= 100 codons	0.802980999301
CDS, <= 100 codons	0.934748866812
CDS, <= 100 codons	0.990571588206
CDS, <= 100 codons	1.0
CDS, <= 100 codons	0.749664597194
CDS, <= 100 codons	0.586263945719
CDS, <= 100 codons	0.992047547285
CDS, <= 100 codons	0.228221900768
CDS, <= 100 codons	0.961921724887
CDS, <= 100 codons	0.988161876085
CDS, <= 100 codons	0.992047547285
CDS, <= 100 codons	0.979640050785
CDS, <= 100 codons	0.588411497846
CDS, <= 100 codons	0.125238244433
CDS, <= 100 codons	0.486243794103
CDS, <= 100 codons	0.976254412792
CDS, <= 100 codons	1.0
CDS, <= 100 codons	1.0
CDS, <= 100 codons	0.947354470999
CDS, <= 100 codons	0.170810504434
CDS, <= 100 codons	0.451252122478
CDS, <= 100 codons	0.967159412715
CDS, <= 100 codons	0.525800559341
CDS, <= 100 codons	0.229172684929
CDS, <= 100 codons	1.0
CDS, <= 100 codons	0.985915399479
CDS, <= 100 codons	0.312054592364
CDS, <= 100 codons	0.969737501183
CDS, <= 100 codons	0.889079032222
CDS, <= 100 codons	0.920661217788
CDS, <= 100 codons	0.380817949531
CDS, <= 100 codons	0.693263132725
CDS, <= 100 codons	0.990571588206
CDS, <= 100 codons	0.982733156246
CDS, <= 100 codons	0.856181535801
CDS, <= 100 codons	0.955306923715
CDS, <= 100 codons	0.87917649387
CDS, <= 100 codons	0.599540310522
CDS, <= 100 codons	0.988144844966
CDS, <= 100 codons	0.978510833592
CDS, <= 100 codons	1.0
CDS, <= 100 codons	0.968301960077
CDS, <= 100 codons	1.0
CDS, <= 100 codons	1.0
CDS, <= 100 codons	0.990571588206
CDS, <= 100 codons	0.828089570998
CDS, <= 100 codons	0.968301960077
CDS, <= 100 codons	0.579029679774
CDS, <= 100 codons	0.0256986876004
CDS, <= 100 codons	0.816838986945
CDS, <= 100 codons	0.893400301854
CDS, <= 100 codons	0.972368741592
CDS, <= 100 codons	0.89669573341
CDS, <= 100 codons	0.779790419593
CDS, <= 100 codons	0.986244255316
CDS, <= 100 codons	1.0
CDS, <= 100 codons	0.746122034425
CDS, <= 100 codons	0.752520324402
CDS, <= 100 codons	0.552763509435
CDS, <= 100 codons	0.631872922743
CDS, <= 100 codons	0.936178074682
CDS, <= 100 codons	0.176611029128
CDS, <= 100 codons	0.294648518648
CDS, <= 100 codons	0.990571588206
CDS, <= 100 codons	0.378429869406
CDS, <= 100 codons	0.82868784249
CDS, <= 100 codons	0.972215911484
CDS, <= 100 codons	0.849969148251
CDS, <= 100 codons	0.842174171518
CDS, <= 100 codons	0.959740020529
CDS, <= 100 codons	0.956447356248
CDS, <= 100 codons	1.0
CDS, <= 100 codons	0.971867156011
CDS, <= 100 codons	0.645344684203
CDS, <= 100 codons	0.735121225121
CDS, <= 100 codons	0.989620804045
CDS, <= 100 codons	0.432983873668
CDS, <= 100 codons	0.956801117565
CDS, <= 100 codons	0.939201638281
CDS, <= 100 codons	0.692013797771
CDS, <= 100 codons	0.742844702652
CDS, <= 100 codons	0.842174171518
CDS, <= 100 codons	1.0
CDS, <= 100 codons	0.657182808118
CDS, <= 100 codons	0.930740704294
CDS, <= 100 codons	0.938847010784
CDS, <= 100 codons	0.702060898152
CDS, <= 100 codons	0.0656137700355
CDS, <= 100 codons	0.358350922407
CDS, <= 100 codons	0.988999190696
CDS, <= 100 codons	1.0
CDS, <= 100 codons	0.904207154384
CDS, <= 100 codons	0.79614344369
CDS, <= 100 codons	0.992047547285
CDS, <= 100 codons	0.724911642914
CDS, <= 100 codons	0.0398491065344
CDS, <= 100 codons	0.993867852195
CDS, <= 100 codons	0.890689924111
CDS, <= 100 codons	0.0281232260188
CDS, <= 100 codons	0.979640050785
CDS, <= 100 codons	1.0
CDS, <= 100 codons	0.472185381459
CDS, <= 100 codons	0.266599671599
CDS, <= 100 codons	0.821814222303
CDS, <= 100 codons	0.698767007721
CDS, <= 100 codons	0.968301960077
CDS, <= 100 codons	0.976254412792
CDS, <= 100 codons	0.908220817706
CDS, <= 100 codons	0.958373515075
CDS, <= 100 codons	0.61800580084
CDS, <= 100 codons	0.183071357824
CDS, <= 100 codons	0.822919197711
CDS, <= 100 codons	0.82795116222
CDS, <= 100 codons	0.848229083086
CDS, <= 100 codons	0.992047547285
CDS, <= 100 codons	0.332045863971
CDS, <= 100 codons	0.61462715978
CDS, <= 100 codons	0.851088961207
CDS, <= 100 codons	0.964864250057
CDS, <= 100 codons	0.140565722931
CDS, <= 100 codons	0.834221718803
CDS, <= 100 codons	0.614548562403
CDS, <= 100 codons	0.777051874134
CDS, <= 100 codons	0.649765384523
CDS, <= 100 codons	0.842174171518
CDS, <= 100 codons	0.796405423698
CDS, <= 100 codons	1.0
CDS, <= 100 codons	0.979640050785
CDS, <= 100 codons	0.961921724887
CDS, <= 100 codons	0.865170659463
CDS, <= 100 codons	0.985915399479
CDS, <= 100 codons	0.0139718396632
CDS, <= 100 codons	0.776742063004
CDS, <= 100 codons	0.992047547285
CDS, <= 100 codons	0.992047547285
CDS, <= 100 codons	0.890453592023
CDS, <= 100 codons	0.776969632052
CDS, <= 100 codons	1.0
